Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Shrubland,3,3,1,1,2,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Grassland,0,3,2,3,1,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Cropland,10,9,5,7,3,2,10,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Wetland,33,0,11,21,17,26,30,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Lichens_and_Mosses,2,1,0,1,1,0,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Bareland,11,8,4,0,10,8,10,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Built-up,14,11,7,13,0,10,12,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Water,33,27,10,24,7,0,32,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Forest,20,18,6,12,8,11,0,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCG_M_R,Permanent_ice_and_snow,7,5,6,8,5,8,9,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Bareland,0,2,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Built-up,0,1,0,0,0,0,0,0,13,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Forest,0,3,0,0,0,2,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Wetland,0,0,0,0,0,2,0,0,99,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Water,0,9,0,0,0,0,0,0,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Grassland,0,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Wetland,0,0,0,0,0,40,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Bareland,0,0,0,0,0,15,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Built-up,0,0,0,0,0,15,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Water,0,0,0,0,0,0,0,0,0,36,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Forest,0,0,0,0,0,28,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,Permanent_ice_and_snow,0,0,0,0,0,4,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Water,12,9,5,23,12,0,21,19,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Cropland,2,0,4,7,5,0,5,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Wetland,10,0,6,18,10,2,15,11,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Bareland,7,2,2,0,7,0,7,6,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Built-up,8,1,5,17,0,0,7,10,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Permanent_ice_and_snow,7,0,2,10,5,0,7,11,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,Forest,7,3,7,16,7,2,0,12,0,0,13,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Grassland,0,3,0,1,2,1,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Wetland,0,0,0,5,7,13,14,8,0,0,0,11
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Bareland,0,3,0,0,3,2,2,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Built-up,0,2,0,3,0,1,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Forest,0,3,0,2,2,2,0,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Water,0,21,0,10,8,0,12,0,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,Cropland,0,0,0,0,1,0,1,0,0,0,0,0
