Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Built-up,Forest,Bareland,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VML_M_R,Shrubland,3,2,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Grassland,0,3,1,0,2,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Cropland,7,6,4,1,5,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Wetland,33,0,14,6,35,10,2,21,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Bareland,8,3,4,1,8,0,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Built-up,17,8,2,0,16,9,0,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Water,32,27,12,4,34,13,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Forest,21,19,2,7,0,6,1,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VML_M_R,Permanent_ice_and_snow,5,4,0,1,5,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Cropland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Bareland,0,1,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Built-up,0,1,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Forest,0,3,0,0,0,0,0,2,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Wetland,0,0,0,0,0,0,0,2,91,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Water,0,9,0,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Grassland,0,0,0,0,0,0,0,7,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Wetland,0,0,0,0,0,0,0,54,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Bareland,0,0,0,0,0,0,0,10,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Built-up,0,0,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Water,0,0,0,0,0,0,0,0,0,34,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Forest,0,0,0,0,0,0,0,30,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Water,13,9,0,20,17,19,23,0,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Cropland,1,0,0,1,3,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Wetland,10,0,0,15,12,16,16,2,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Bareland,1,1,0,6,3,0,3,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Built-up,5,1,0,0,8,8,12,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Permanent_ice_and_snow,0,0,0,3,2,4,4,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,Forest,6,3,1,9,0,12,14,2,0,0,10,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Grassland,0,3,0,2,2,1,1,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Wetland,0,0,0,5,14,8,4,14,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Forest,0,3,0,3,0,2,1,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Water,0,21,0,2,12,11,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Bareland,0,2,0,3,2,0,0,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,Built-up,0,0,0,0,1,1,0,1,0,0,0,1
