Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Grassland,0,1,1,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Cropland,9,8,1,0,7,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Wetland,32,0,13,21,28,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Bareland,7,5,8,5,5,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Built-up,2,2,1,0,4,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Water,22,28,12,0,27,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Forest,21,20,3,9,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPS_M_R,Permanent_ice_and_snow,8,7,1,2,9,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Cropland,0,0,0,0,0,0,8,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Bareland,0,1,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Forest,0,3,0,2,0,0,23,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Wetland,0,0,0,2,0,0,60,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Water,0,7,0,0,0,0,17,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Wetland,0,0,0,39,0,0,0,10,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Bareland,0,0,0,13,0,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Water,0,0,0,0,0,0,0,23,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Forest,0,0,0,29,0,0,0,5,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Cropland,0,0,0,4,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,Permanent_ice_and_snow,0,0,0,5,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Water,1,7,1,0,14,18,0,0,14,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Cropland,1,0,1,0,5,4,0,0,4,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Wetland,3,0,5,2,9,14,0,0,12,5,2,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Bareland,0,1,1,0,2,0,0,0,2,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Permanent_ice_and_snow,0,0,1,0,6,8,0,0,4,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,Forest,5,3,9,2,0,14,0,0,12,7,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,Grassland,0,2,0,1,3,0,0,0,0,0,1,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,Wetland,0,0,0,11,12,7,0,0,0,1,7,11
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,Water,0,14,0,0,13,6,0,0,0,0,2,10
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,Forest,0,3,0,2,0,2,0,0,0,0,3,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,Bareland,0,1,0,2,2,0,0,0,0,0,0,1
