Dataset,MajorityClass,Grassland,Cropland,Wetland,Forest,Lichens_and_Mosses,Bareland,Water,Non_Wetland,Non_Water,Built-up,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Grassland,0,2,1,1,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Cropland,5,0,7,6,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Wetland,30,15,0,30,5,6,23,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Lichens_and_Mosses,1,0,0,1,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Bareland,3,2,3,6,1,0,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Built-up,8,1,5,6,6,4,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Water,25,2,21,26,6,12,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Forest,14,2,16,0,3,2,10,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VUF_M_R,Permanent_ice_and_snow,3,0,4,5,1,3,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Grassland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Cropland,0,0,0,0,0,0,0,10,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Bareland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Forest,0,0,3,0,0,0,2,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Wetland,0,0,0,0,0,0,2,77,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Water,0,0,7,0,0,0,0,17,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VUF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Wetland,0,0,0,0,0,0,45,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Bareland,0,0,0,0,0,0,7,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Water,0,0,0,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Forest,0,0,0,0,0,0,20,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VUF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Water,6,17,7,17,3,18,0,0,0,7,2,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Cropland,0,0,0,3,0,4,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Wetland,6,15,0,14,0,16,2,0,0,8,6,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Bareland,0,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Built-up,5,5,0,1,2,4,0,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Permanent_ice_and_snow,0,5,0,4,0,4,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VUF_M_R,Forest,1,9,3,0,1,11,2,0,0,7,4,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Wetland,0,4,0,12,0,4,9,0,0,3,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Forest,0,1,3,0,0,2,2,0,0,1,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Water,0,0,18,16,0,8,0,0,0,2,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Grassland,0,0,3,1,0,0,0,0,0,1,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Cropland,0,0,3,0,0,0,1,0,0,1,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Bareland,0,0,2,1,0,0,0,0,0,1,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VUF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,1,0,0
