Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Shrubland,19,33,13,23,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Grassland,0,3,3,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Wetland,63,0,57,72,5,29,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Lichens_and_Mosses,3,3,0,2,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Bareland,22,39,37,28,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Built-up,4,10,3,3,0,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Water,47,66,42,0,0,25,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Forest,3,15,0,7,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEV_M_R,Permanent_ice_and_snow,16,15,14,13,0,11,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Shrubland,0,0,0,0,0,0,56,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Grassland,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,15,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Bareland,0,11,0,2,0,0,73,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Built-up,0,0,0,0,0,0,11,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Forest,0,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Wetland,0,0,0,11,0,0,207,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Water,0,17,0,0,0,0,66,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,15,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Shrubland,0,0,0,16,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Grassland,0,0,0,9,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Wetland,0,0,0,115,0,0,0,28,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Lichens_and_Mosses,0,0,0,11,0,0,0,3,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Bareland,0,0,0,51,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Built-up,0,0,0,4,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Water,0,0,0,0,0,0,0,64,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Permanent_ice_and_snow,0,0,0,18,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEV_M_R,Forest,0,0,0,4,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Water,17,33,45,0,3,36,0,0,33,21,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Wetland,26,0,49,14,5,51,0,0,51,25,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Bareland,6,17,27,2,0,0,0,0,14,31,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Built-up,1,0,2,0,0,4,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Permanent_ice_and_snow,8,11,11,2,1,11,0,0,11,14,0
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Forest,3,0,6,0,0,6,0,0,8,0,0
