Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Shrubland,3,3,2,2,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Grassland,0,1,1,0,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Cropland,6,4,1,0,7,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Wetland,31,0,10,24,30,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Bareland,7,7,7,9,12,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Built-up,1,3,2,1,3,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Water,28,28,19,0,35,14,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Forest,17,21,8,12,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VPQ_M_R,Permanent_ice_and_snow,11,14,3,7,12,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Bareland,0,0,0,1,0,0,0,8,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Forest,0,3,0,2,0,0,0,24,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Wetland,0,0,0,2,0,0,0,64,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Water,0,7,0,0,0,0,0,17,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Shrubland,0,0,0,4,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Grassland,0,0,0,4,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Wetland,0,0,0,40,0,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Bareland,0,0,0,12,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Water,0,0,0,0,0,0,0,0,36,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Forest,0,0,0,23,0,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,Permanent_ice_and_snow,0,0,0,11,0,0,0,0,2,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Water,2,7,3,0,18,20,16,0,0,17,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Cropland,0,0,0,0,3,6,1,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Wetland,3,0,2,2,12,14,6,0,0,13,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Bareland,3,0,0,1,4,0,1,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Permanent_ice_and_snow,3,0,0,0,9,13,6,0,0,8,2,0
SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,Forest,7,3,4,2,0,12,8,0,0,14,6,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,Wetland,0,0,0,11,14,10,0,0,0,0,7,14
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,Forest,0,3,0,2,0,3,0,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,Water,0,16,0,0,14,10,0,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,Grassland,0,2,0,0,3,1,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,Bareland,0,1,0,2,2,0,0,0,0,0,0,3
