Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Shrubland,72,77,39,39,46,19,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Grassland,0,3,2,1,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Wetland,142,0,105,89,137,19,1,28,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Lichens_and_Mosses,3,3,0,2,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Bareland,76,84,71,0,72,3,5,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Built-up,7,10,4,6,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Water,97,116,73,68,0,11,3,18,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Forest,44,56,7,10,31,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WPT_M_R,Permanent_ice_and_snow,15,14,7,10,13,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Shrubland,0,0,0,0,0,0,0,0,144,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Grassland,0,0,0,0,0,0,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Bareland,0,22,0,0,13,0,0,0,173,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Built-up,0,0,0,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,Forest,0,1,0,0,0,0,0,0,94,0,0,0
