Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Grassland,0,3,3,3,2,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Wetland,33,0,34,33,30,30,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Lichens_and_Mosses,3,3,0,1,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Bareland,9,19,18,0,13,9,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Built-up,16,9,14,12,11,11,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Water,35,35,39,36,0,32,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Forest,21,24,21,17,15,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WPB_M_R,Permanent_ice_and_snow,17,20,18,16,14,16,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Bareland,0,3,0,0,2,0,0,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Built-up,0,0,0,0,1,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Forest,0,3,0,0,2,0,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Wetland,0,0,0,0,2,0,0,109,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Water,0,7,0,0,0,0,0,27,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Shrubland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Grassland,0,0,0,0,8,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Wetland,0,0,0,0,58,0,0,0,12,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Lichens_and_Mosses,0,0,0,0,7,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Bareland,0,0,0,0,29,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Built-up,0,0,0,0,17,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Water,0,0,0,0,0,0,0,0,61,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Forest,0,0,0,0,41,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,Permanent_ice_and_snow,0,0,0,0,28,0,0,0,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Water,20,7,14,21,0,21,23,0,0,23,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Wetland,14,0,12,16,2,16,17,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Bareland,7,3,3,0,2,7,15,0,0,13,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Built-up,6,0,4,12,1,8,0,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Permanent_ice_and_snow,15,0,9,16,0,16,17,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,Forest,14,3,8,14,2,0,17,0,0,17,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Water,0,23,0,15,0,21,7,0,0,0,25
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Grassland,0,3,0,1,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Lichens_and_Mosses,0,3,0,1,1,2,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Bareland,0,3,0,0,2,3,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Forest,0,3,0,2,2,0,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,Wetland,0,0,0,10,11,14,6,0,0,0,18
