Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Shrubland,3,2,2,2,1,1,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Grassland,0,2,1,1,2,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Cropland,7,0,6,5,3,1,9,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Wetland,38,22,0,25,19,2,36,25,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Lichens_and_Mosses,1,0,0,0,1,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Bareland,15,4,3,13,0,1,5,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Built-up,11,6,7,7,4,0,11,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Water,33,15,26,21,25,0,36,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Forest,22,7,18,10,13,6,0,12,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVF_M_R,Permanent_ice_and_snow,13,3,9,5,7,4,14,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Grassland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Bareland,0,0,3,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Built-up,0,0,1,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Forest,0,0,3,0,0,0,0,2,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Wetland,0,0,0,0,0,0,0,2,110,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Water,0,0,8,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Grassland,0,0,0,0,0,0,0,6,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Cropland,0,0,0,0,0,0,0,9,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Wetland,0,0,0,0,0,0,0,64,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,3,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Bareland,0,0,0,0,0,0,0,29,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Built-up,0,0,0,0,0,0,0,10,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Water,0,0,0,0,0,0,0,0,0,42,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Forest,0,0,0,0,0,0,0,37,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,20,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Water,15,23,8,14,21,17,18,0,0,0,15,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Cropland,1,0,0,0,5,1,3,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Wetland,13,17,0,7,16,17,15,2,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Bareland,8,9,3,4,0,7,2,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Built-up,7,8,1,1,6,0,6,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Permanent_ice_and_snow,7,11,0,0,10,7,11,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,Forest,8,18,3,6,15,11,0,2,0,0,11,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Wetland,0,6,0,0,9,3,14,14,0,0,0,15
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Bareland,0,1,3,0,0,1,2,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Water,0,2,21,0,10,1,13,0,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Forest,0,1,3,0,2,2,0,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Grassland,0,0,3,0,0,1,3,2,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Cropland,0,0,3,0,0,1,3,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Built-up,0,0,1,0,1,0,1,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,Lichens_and_Mosses,0,0,0,0,2,0,0,1,0,0,0,1
