Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Shrubland,3,3,3,3,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Grassland,0,3,3,2,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Wetland,35,0,33,26,31,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Lichens_and_Mosses,3,3,0,3,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Bareland,6,16,12,0,13,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Built-up,7,5,5,4,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Water,36,43,34,31,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Forest,7,15,1,0,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XMF_M_R,Permanent_ice_and_snow,15,17,16,13,12,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Bareland,0,3,0,0,2,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Forest,0,0,0,0,0,0,15,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Wetland,0,0,0,0,2,0,71,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Water,0,6,0,0,0,0,26,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Shrubland,0,0,0,0,4,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Grassland,0,0,0,0,5,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Wetland,0,0,0,0,52,0,0,14,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Lichens_and_Mosses,0,0,0,0,6,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Bareland,0,0,0,0,18,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Built-up,0,0,0,0,4,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Water,0,0,0,0,0,0,0,49,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Forest,0,0,0,0,5,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,Permanent_ice_and_snow,0,0,0,0,18,0,0,6,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Water,12,22,17,16,0,7,0,0,19,19,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Wetland,9,0,11,11,5,8,0,0,14,14,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Bareland,2,11,8,0,3,0,0,0,7,12,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Built-up,3,0,1,4,0,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Permanent_ice_and_snow,9,11,11,11,3,0,0,0,13,14,0
SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,Forest,2,0,4,7,0,0,0,0,7,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,Water,0,25,0,16,0,7,0,0,0,0,27
SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,Grassland,0,3,0,1,2,0,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,Lichens_and_Mosses,0,3,0,2,2,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,Bareland,0,3,0,0,2,0,0,0,0,1,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,Wetland,0,0,0,12,11,6,0,0,0,3,18
