Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Shrubland,3,3,1,1,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Grassland,0,3,0,0,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Cropland,4,4,1,1,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Wetland,36,0,5,5,9,32,25,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Lichens_and_Mosses,2,2,0,0,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Bareland,5,4,2,0,2,3,5,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Built-up,16,11,4,9,0,15,6,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Water,36,35,5,21,8,34,0,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Forest,19,21,6,5,6,0,10,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41VNL_M_R,Permanent_ice_and_snow,2,1,0,0,1,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Bareland,0,0,0,0,0,0,1,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Built-up,0,1,0,0,0,0,0,0,13,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Forest,0,3,0,0,0,0,2,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Wetland,0,0,0,0,0,0,2,0,93,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Water,0,10,0,0,0,0,0,0,31,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Grassland,0,0,0,0,0,0,4,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Cropland,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Wetland,0,0,0,0,0,0,38,0,0,12,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Bareland,0,0,0,0,0,0,4,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Built-up,0,0,0,0,0,0,10,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Water,0,0,0,0,0,0,0,0,0,51,0,0
SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,Forest,0,0,0,0,0,0,23,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Water,9,10,19,19,17,19,0,16,0,0,19,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Wetland,9,0,8,15,11,13,2,12,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Bareland,0,0,0,0,3,1,1,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Built-up,4,1,5,12,0,7,0,5,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Permanent_ice_and_snow,0,0,0,1,1,2,0,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,Forest,7,3,4,16,6,0,2,12,0,0,14,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Grassland,0,3,0,0,2,1,2,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Wetland,0,0,0,7,9,14,14,5,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Water,0,23,0,3,5,13,0,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Forest,0,3,0,1,2,0,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Cropland,0,1,0,0,1,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Bareland,0,1,0,0,3,1,2,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,Built-up,0,2,0,1,0,1,2,0,0,0,0,1
