Dataset,MajorityClass,Grassland,Wetland,Forest,Lichens_and_Mosses,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Shrubland,2,3,2,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Grassland,0,1,1,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Cropland,3,4,3,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Wetland,15,0,18,1,15,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Bareland,8,3,9,6,4,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Built-up,3,2,6,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Water,26,21,28,13,0,13,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Forest,15,14,0,1,9,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVJ_M_R,Permanent_ice_and_snow,6,3,8,0,3,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Bareland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Forest,0,3,0,0,2,0,0,16,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Wetland,0,0,0,0,2,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Water,0,7,0,0,0,0,0,8,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Wetland,0,0,0,0,18,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Bareland,0,0,0,0,13,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Water,0,0,0,0,0,0,0,0,35,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Forest,0,0,0,0,23,0,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Grassland,0,0,0,0,1,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVJ_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Water,9,7,16,6,0,17,7,0,0,11,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Cropland,0,0,3,0,0,4,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Wetland,1,0,5,0,2,7,1,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Bareland,2,0,2,2,0,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Built-up,1,0,2,0,0,3,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Permanent_ice_and_snow,2,0,4,1,0,7,1,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVJ_M_R,Forest,6,3,0,4,2,14,5,0,0,8,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Wetland,0,0,11,0,10,6,0,0,0,0,6,10
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Forest,0,2,0,0,2,2,1,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Water,0,6,12,0,0,5,0,0,0,0,0,10
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Grassland,0,0,2,0,2,1,1,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Lichens_and_Mosses,0,0,1,0,1,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Bareland,0,0,2,0,2,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVJ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
