Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Built-up,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Shrubland,3,3,2,2,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Grassland,0,3,2,0,3,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Cropland,7,8,4,0,8,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Wetland,34,0,25,25,32,4,11,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Lichens_and_Mosses,3,2,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Bareland,9,6,7,6,6,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Built-up,8,9,2,1,10,0,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Water,33,28,22,0,31,0,19,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Forest,22,26,8,10,0,2,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44WNS_M_R,Permanent_ice_and_snow,4,4,2,0,5,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Cropland,0,0,0,0,0,0,0,8,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Bareland,0,3,0,1,0,0,0,9,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Built-up,0,0,0,0,0,0,0,10,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Forest,0,3,0,2,0,0,0,29,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Wetland,0,0,0,2,0,0,0,88,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Water,0,7,0,0,0,0,0,21,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Shrubland,0,0,0,3,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Grassland,0,0,0,6,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Wetland,0,0,0,47,0,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Bareland,0,0,0,18,0,0,0,0,3,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Water,0,0,0,0,0,0,0,0,37,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Forest,0,0,0,36,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Water,9,7,9,0,17,13,19,0,0,19,4,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Cropland,1,0,2,0,3,1,6,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Wetland,9,0,9,2,12,10,16,0,0,17,3,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Bareland,0,3,1,1,2,1,0,0,0,1,3,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Built-up,2,0,3,0,4,0,9,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Permanent_ice_and_snow,0,0,0,0,3,2,5,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,Forest,10,3,10,2,0,10,15,0,0,16,7,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Grassland,0,3,0,2,3,1,0,0,0,0,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Wetland,0,0,0,11,15,4,14,0,0,0,5,5
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Water,0,19,0,0,13,3,8,0,0,0,3,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Forest,0,3,0,2,0,1,1,0,0,0,2,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Lichens_and_Mosses,0,1,0,1,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Bareland,0,3,0,2,3,2,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0,0
