Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Shrubland,55,53,29,10,1,25,44,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Grassland,0,3,3,1,0,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Wetland,140,0,96,48,4,109,114,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Lichens_and_Mosses,3,3,0,2,1,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Bareland,72,54,74,0,12,55,52,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Built-up,10,10,8,10,0,4,10,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Water,90,86,68,45,2,0,75,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Forest,55,51,24,21,4,45,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Cropland,4,6,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WEN_M_R,Permanent_ice_and_snow,10,13,8,5,2,7,10,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Shrubland,0,0,0,0,0,0,0,98,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Grassland,0,0,0,0,0,0,0,18,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Bareland,0,25,0,0,0,12,0,125,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Built-up,0,1,0,0,0,0,0,11,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Forest,0,23,0,0,0,14,0,120,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Wetland,0,0,0,0,0,23,0,367,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Water,0,36,0,0,0,0,0,86,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,13,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Shrubland,0,0,0,0,0,40,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Grassland,0,0,0,0,0,11,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Wetland,0,0,0,0,0,190,0,0,50,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,3,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Bareland,0,0,0,0,0,101,0,0,30,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Built-up,0,0,0,0,0,3,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Water,0,0,0,0,0,0,0,0,110,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Forest,0,0,0,0,0,83,0,0,25,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,Permanent_ice_and_snow,0,0,0,0,0,10,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Water,28,36,33,54,31,0,54,0,0,23,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Cropland,1,0,0,6,0,0,2,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Wetland,45,0,49,89,35,23,69,0,0,53,1,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Bareland,30,25,40,0,63,12,50,0,0,41,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Built-up,5,1,4,13,0,0,6,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Permanent_ice_and_snow,7,0,5,15,6,0,13,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Forest,33,23,14,40,17,14,0,0,0,39,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,Shrubland,25,0,16,52,9,0,39,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Grassland,0,10,0,3,2,3,9,0,0,0,1,5
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Wetland,0,0,0,28,8,84,83,0,0,0,15,91
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Forest,0,39,0,6,2,30,0,0,0,0,2,26
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Water,0,83,0,25,4,0,48,0,0,0,2,54
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Lichens_and_Mosses,0,7,0,1,1,5,5,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Bareland,0,61,0,0,12,53,55,0,0,0,2,53
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Built-up,0,1,0,1,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,Shrubland,0,48,0,5,3,23,35,0,0,0,1,29
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Grassland,0,5,0,8,0,0,3,0,0,13,0,0
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Wetland,0,0,0,85,0,12,41,0,0,86,0,0
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Lichens_and_Mosses,0,4,0,10,0,0,0,0,0,5,0,0
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Water,0,94,0,95,0,0,32,0,0,83,0,4
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Bareland,0,14,0,0,0,0,4,0,0,17,0,0
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Forest,0,36,0,32,0,0,0,0,0,46,0,0
SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,Built-up,0,0,0,5,0,0,0,0,0,0,0,0
