Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44XMH_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XMH_M_R,SIBERIA_2024_GSW_Yearly_2021_44XMH_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XMH_M_R,SIBERIA_2024_WorldCover_2021_44XMH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,Shrubland,Non_Water,Non_Wetland,NULL
3,NULL,Shrubland,Water,Non_Wetland,NULL
4,NULL,Grassland,NULL,Non_Wetland,NULL
5,NULL,Grassland,Water,Non_Wetland,NULL
6,NULL,Wetland,NULL,NULL,NULL
7,NULL,Wetland,NULL,Wetland,NULL
8,NULL,Wetland,Non_Water,NULL,NULL
9,NULL,Wetland,Non_Water,Wetland,NULL
10,NULL,Wetland,Water,NULL,NULL
11,NULL,Wetland,Water,Wetland,NULL
12,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
13,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
14,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
15,NULL,Bareland,NULL,Non_Wetland,NULL
16,NULL,Bareland,Non_Water,Non_Wetland,NULL
17,NULL,Bareland,Water,Non_Wetland,NULL
18,NULL,Built-up,NULL,Non_Wetland,NULL
19,NULL,Built-up,Non_Water,Non_Wetland,NULL
20,NULL,Built-up,Water,Non_Wetland,NULL
21,NULL,Water,NULL,NULL,NULL
22,NULL,Water,NULL,Water,NULL
23,NULL,Water,Non_Water,NULL,NULL
24,NULL,Water,Non_Water,Water,NULL
25,NULL,Water,Water,NULL,NULL
26,NULL,Water,Water,Water,NULL
