Dataset,MajorityClass,Shrubland,Grassland,Lichens_and_Mosses,Bareland,Built-up,Water,Wetland,Non_Wetland,Non_Water,Permanent_ice_and_snow,Forest
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Wetland,13,12,18,17,7,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Bareland,8,7,19,0,14,4,6,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Built-up,1,0,3,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Water,6,2,12,10,4,0,9,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Permanent_ice_and_snow,2,1,3,3,3,1,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Forest,3,4,5,9,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,Shrubland,0,7,14,13,3,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,Wetland,0,0,0,0,0,2,0,67,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,Water,0,0,0,0,0,0,6,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,Shrubland,0,0,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,Bareland,0,0,0,0,0,2,3,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,Forest,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Wetland,0,0,0,0,0,34,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Water,0,0,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Bareland,0,0,0,0,0,24,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Forest,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,Shrubland,0,0,0,0,0,14,0,0,1,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,Water,0,0,0,10,0,0,21,0,0,11,7
SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,Wetland,0,0,0,5,0,16,0,0,0,18,15
SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,Shrubland,0,0,0,0,0,5,14,0,0,8,7
SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,Bareland,0,0,0,0,2,7,15,0,0,8,4
SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,Forest,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,Wetland,11,0,0,11,0,3,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,Water,13,0,0,15,0,0,18,0,0,1,2
SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0
