Value,SIBERIA_2024_ESA_CALU_2024_43WDS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDS_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDS_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDS_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDS_M_R,SIBERIA_2024_WorldCover_2021_43WDS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Water
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
5,NULL,NULL,NULL,Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,NULL,NULL,NULL
43,NULL,NULL,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
46,NULL,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Built-up
53,NULL,NULL,Wetland,NULL,Wetland,Water
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,NULL,Wetland
56,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
57,NULL,NULL,Wetland,Non_Water,NULL,Bareland
58,NULL,NULL,Wetland,Non_Water,NULL,Water
59,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
62,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
63,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,NULL,Wetland,Water,NULL,Grassland
67,NULL,NULL,Wetland,Water,NULL,Wetland
68,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
69,NULL,NULL,Wetland,Water,NULL,Bareland
70,NULL,NULL,Wetland,Water,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
74,NULL,NULL,Wetland,Water,Wetland,Bareland
75,NULL,NULL,Wetland,Water,Wetland,Built-up
76,NULL,NULL,Wetland,Water,Wetland,Water
77,NULL,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
78,NULL,NULL,Wetland,Water,Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
94,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
95,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
97,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
98,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
99,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
105,NULL,NULL,Bareland,NULL,Non_Wetland,Water
106,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
