Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Bareland,Built-up,Water,Cropland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Shrubland,3,3,1,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Grassland,0,3,1,1,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Cropland,12,9,3,10,2,4,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Wetland,37,0,12,38,19,7,31,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Bareland,7,3,5,12,0,1,6,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Built-up,14,12,5,16,6,0,6,2,1,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Water,35,36,12,36,18,2,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Forest,21,22,7,0,7,6,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNL_M_R,Permanent_ice_and_snow,10,7,2,10,6,2,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Cropland,0,0,0,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Bareland,0,1,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Built-up,0,1,0,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Forest,0,3,0,0,0,0,2,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Wetland,0,0,0,0,0,0,2,0,0,95,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Water,0,9,0,0,0,0,0,0,0,23,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Grassland,0,0,0,0,0,0,4,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Wetland,0,0,0,0,0,0,71,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Bareland,0,0,0,0,0,0,12,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Built-up,0,0,0,0,0,0,20,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Water,0,0,0,0,0,0,0,0,0,0,35,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Forest,0,0,0,0,0,0,32,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,9,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Water,12,9,0,15,20,16,0,23,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Cropland,3,0,0,5,8,2,0,0,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Wetland,12,0,1,13,16,13,2,19,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Bareland,3,1,0,1,0,4,0,8,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Built-up,4,1,0,7,11,0,0,15,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Permanent_ice_and_snow,3,0,0,8,7,4,0,12,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,Forest,6,3,1,0,14,12,2,15,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Grassland,0,3,0,3,1,1,2,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Wetland,0,0,0,16,11,10,11,10,15,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Built-up,0,2,0,1,0,0,1,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Water,0,20,0,15,14,8,0,4,13,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Forest,0,3,0,0,2,3,2,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Bareland,0,2,0,1,0,0,1,0,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
