Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Grassland,0,3,3,2,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Wetland,44,0,36,29,15,32,37,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Lichens_and_Mosses,3,3,0,3,1,2,3,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Bareland,15,7,16,0,4,12,10,3,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Built-up,12,10,11,10,0,4,13,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Water,39,36,34,34,4,0,37,2,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Permanent_ice_and_snow,20,21,22,23,7,16,20,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WVV_M_R,Forest,22,23,16,11,4,9,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Bareland,0,3,0,0,0,2,0,0,10,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Built-up,0,1,0,0,0,0,0,0,12,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Forest,0,3,0,0,0,2,0,0,26,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Wetland,0,0,0,0,0,2,0,0,118,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Water,0,8,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Grassland,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Wetland,0,0,0,0,0,73,0,0,0,14,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Lichens_and_Mosses,0,0,0,0,0,9,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Bareland,0,0,0,0,0,29,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Built-up,0,0,0,0,0,19,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Water,0,0,0,0,0,0,0,0,0,55,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Permanent_ice_and_snow,0,0,0,0,0,37,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,Forest,0,0,0,0,0,39,0,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Water,14,21,21,21,14,0,21,1,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Wetland,14,0,17,16,16,7,19,0,0,0,20
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Bareland,2,3,9,0,11,2,8,1,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Built-up,4,6,7,14,0,0,6,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Permanent_ice_and_snow,12,7,16,16,16,1,15,0,0,0,19
SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,Forest,8,7,12,13,9,3,0,0,0,0,18
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Water,0,31,0,18,1,0,12,27,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Grassland,0,3,0,1,1,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Lichens_and_Mosses,0,3,0,3,1,2,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Bareland,0,3,0,0,3,2,2,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Built-up,0,2,0,1,0,0,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Forest,0,3,0,2,2,2,0,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,Wetland,0,0,0,12,4,13,15,22,0,0,0
