Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Cropland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Grassland,0,3,1,0,1,0,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Cropland,8,11,2,1,3,2,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Wetland,43,0,31,33,25,32,38,20,2,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Lichens_and_Mosses,3,3,0,2,1,0,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Bareland,17,15,11,0,9,12,16,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Built-up,18,17,11,15,0,12,19,6,2,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Water,40,40,29,31,14,0,40,9,2,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Forest,20,21,11,9,9,11,0,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXP_M_R,Permanent_ice_and_snow,11,9,5,8,3,7,11,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Cropland,0,0,0,0,0,0,0,0,0,11,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Bareland,0,3,0,0,0,2,0,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Built-up,0,3,0,0,0,2,0,0,0,20,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Forest,0,3,0,0,0,2,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Wetland,0,0,0,0,0,2,0,0,0,150,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Water,0,10,0,0,0,0,0,0,0,28,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Grassland,0,0,0,0,0,4,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Wetland,0,0,0,0,0,80,0,0,0,0,15,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Bareland,0,0,0,0,0,27,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Built-up,0,0,0,0,0,28,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Water,0,0,0,0,0,0,0,0,0,0,68,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Forest,0,0,0,0,0,31,0,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,Permanent_ice_and_snow,0,0,0,0,0,11,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Water,13,10,16,29,24,0,26,7,0,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Cropland,3,0,3,9,4,0,7,0,0,0,0,5
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Wetland,14,0,16,24,20,2,23,13,0,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Bareland,4,3,5,0,11,2,15,4,0,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Built-up,6,3,10,20,0,2,15,5,0,0,0,15
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Permanent_ice_and_snow,1,0,3,16,10,0,11,4,0,0,0,9
SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,Forest,6,3,10,19,10,2,0,6,0,0,0,16
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Grassland,0,3,0,1,2,2,2,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Wetland,0,0,0,15,18,17,17,11,18,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Bareland,0,3,0,0,3,2,3,2,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Built-up,0,3,0,2,0,2,2,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Water,0,31,0,16,17,0,17,3,14,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Forest,0,3,0,3,3,2,0,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Lichens_and_Mosses,0,3,0,1,1,2,2,0,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
