Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Cropland,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Shrubland,2,3,3,2,2,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Grassland,0,2,1,1,0,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Cropland,6,8,3,1,2,2,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Wetland,39,0,24,31,24,33,38,9,5,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Lichens_and_Mosses,3,3,0,1,1,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Bareland,15,7,9,0,6,12,10,2,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Built-up,19,20,9,17,0,12,17,0,3,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Water,33,35,19,28,8,0,32,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Forest,18,17,8,8,6,10,0,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VDK_M_R,Permanent_ice_and_snow,10,11,3,9,4,4,7,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Cropland,0,0,0,0,0,0,0,0,0,8,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Bareland,0,3,0,0,0,2,0,0,0,10,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Built-up,0,2,0,0,0,2,0,0,0,23,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Forest,0,3,0,0,0,2,0,0,0,20,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Wetland,0,0,0,0,0,2,0,0,0,145,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Water,0,7,0,0,0,0,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Wetland,0,0,0,0,0,72,0,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Lichens_and_Mosses,0,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Bareland,0,0,0,0,0,17,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Built-up,0,0,0,0,0,26,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Water,0,0,0,0,0,0,0,0,0,0,51,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Forest,0,0,0,0,0,26,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,Permanent_ice_and_snow,0,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Water,5,7,8,25,16,0,21,0,1,0,0,21
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Cropland,2,0,1,9,3,0,4,0,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Wetland,12,0,17,26,19,2,21,0,10,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Bareland,0,3,3,0,9,2,9,0,2,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Built-up,5,2,10,19,0,2,14,0,6,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Permanent_ice_and_snow,2,0,2,15,7,0,11,0,3,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,Forest,5,3,5,15,6,2,0,0,2,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Grassland,0,3,0,1,1,1,1,1,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Wetland,0,0,0,13,15,13,15,14,8,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Bareland,0,3,0,0,3,2,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Water,0,31,0,12,18,0,15,15,5,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Forest,0,3,0,3,3,2,0,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Lichens_and_Mosses,0,2,0,0,2,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,Built-up,0,3,0,3,0,1,2,2,0,0,0,0
