Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Lichens_and_Mosses,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Grassland,0,3,2,1,3,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Cropland,7,6,1,2,8,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Wetland,32,0,6,3,32,14,20,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Bareland,5,3,0,2,6,5,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Built-up,9,2,5,0,12,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Water,32,30,8,0,31,14,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Forest,19,18,3,6,0,4,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VFG_M_R,Permanent_ice_and_snow,6,1,2,2,6,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Bareland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Built-up,0,1,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Forest,0,3,0,0,0,0,2,21,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Wetland,0,0,0,0,0,0,2,84,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Water,0,8,0,0,0,0,0,25,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VFG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Grassland,0,0,0,0,0,0,5,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Wetland,0,0,0,0,0,0,41,0,9,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Bareland,0,0,0,0,0,0,9,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Built-up,0,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Water,0,0,0,0,0,0,0,0,32,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Forest,0,0,0,0,0,0,23,0,4,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VFG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Water,10,8,19,4,17,11,0,0,0,13,10,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Cropland,1,0,4,2,3,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Wetland,11,0,15,5,14,6,2,0,0,13,9,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Built-up,4,1,9,0,2,0,0,0,0,3,3,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Permanent_ice_and_snow,2,0,5,2,3,0,0,0,0,3,2,0
SIBERIA_2024_GLC_FCS30D_2022_43VFG_M_R,Forest,6,3,13,2,0,5,2,0,0,10,8,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Grassland,0,3,0,2,2,0,2,0,0,0,1,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Wetland,0,0,5,2,14,0,13,0,0,0,4,7
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,1,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Forest,0,3,1,2,0,0,2,0,0,0,1,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Water,0,20,4,0,9,0,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Bareland,0,1,0,2,1,0,2,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VFG_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
