Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Shrubland,2,3,1,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Grassland,0,1,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Cropland,4,3,0,6,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Wetland,28,0,4,31,23,4,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Lichens_and_Mosses,1,0,0,1,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Bareland,9,3,8,6,4,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Built-up,4,1,2,7,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Water,29,25,19,32,0,22,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Forest,17,16,5,0,9,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVH_M_R,Permanent_ice_and_snow,12,12,4,14,6,2,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Grassland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Bareland,0,2,0,0,1,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Forest,0,3,0,0,2,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Wetland,0,0,0,0,2,0,0,61,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Water,0,7,0,0,0,0,0,15,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,12,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Wetland,0,0,0,0,39,0,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Lichens_and_Mosses,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Bareland,0,0,0,0,17,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Water,0,0,0,0,0,0,0,0,27,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Forest,0,0,0,0,27,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,Permanent_ice_and_snow,0,0,0,0,16,0,0,0,2,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Water,10,7,10,15,0,21,13,0,0,15,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Cropland,0,0,0,3,0,4,1,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Wetland,6,0,2,10,2,13,9,0,0,10,1,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Bareland,5,2,3,2,1,0,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Built-up,1,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Permanent_ice_and_snow,5,0,5,8,0,14,4,0,0,11,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,Forest,6,3,5,0,2,13,8,0,0,10,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Wetland,0,0,0,12,10,8,0,0,0,0,6,13
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Water,0,18,0,15,0,9,1,0,0,0,1,20
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Forest,0,3,0,0,2,2,1,0,0,0,2,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Grassland,0,3,0,3,1,2,1,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Lichens_and_Mosses,0,0,0,1,1,2,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,Bareland,0,0,0,2,2,0,1,0,0,0,0,2
