Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R,SIBERIA_2024_WorldCover_2021_41WPQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Non_Water,Non_Wetland,Water
14,NULL,NULL,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Water,Non_Wetland,Grassland
16,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Water,Non_Wetland,Bareland
19,NULL,NULL,Water,Non_Wetland,Water
20,NULL,NULL,Water,Non_Wetland,Forest
21,NULL,Shrubland,NULL,Non_Wetland,NULL
22,NULL,Shrubland,NULL,Non_Wetland,Grassland
23,NULL,Shrubland,NULL,Non_Wetland,Wetland
24,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,NULL,Non_Wetland,Bareland
26,NULL,Shrubland,NULL,Non_Wetland,Built-up
27,NULL,Shrubland,NULL,Non_Wetland,Water
28,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
29,NULL,Shrubland,NULL,Non_Wetland,Forest
30,NULL,Shrubland,Non_Water,Non_Wetland,NULL
31,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
32,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
33,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
35,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
36,NULL,Shrubland,Non_Water,Non_Wetland,Water
37,NULL,Shrubland,Non_Water,Non_Wetland,Forest
38,NULL,Shrubland,Water,Non_Wetland,NULL
39,NULL,Shrubland,Water,Non_Wetland,Grassland
40,NULL,Shrubland,Water,Non_Wetland,Wetland
41,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Shrubland,Water,Non_Wetland,Bareland
43,NULL,Shrubland,Water,Non_Wetland,Water
44,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
45,NULL,Shrubland,Water,Non_Wetland,Forest
46,NULL,Grassland,NULL,Non_Wetland,NULL
47,NULL,Grassland,NULL,Non_Wetland,Grassland
48,NULL,Grassland,NULL,Non_Wetland,Wetland
49,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,NULL,Non_Wetland,Bareland
51,NULL,Grassland,NULL,Non_Wetland,Built-up
52,NULL,Grassland,NULL,Non_Wetland,Water
53,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
54,NULL,Grassland,NULL,Non_Wetland,Forest
55,NULL,Grassland,Non_Water,Non_Wetland,Grassland
56,NULL,Grassland,Non_Water,Non_Wetland,Wetland
57,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
58,NULL,Grassland,Non_Water,Non_Wetland,Bareland
59,NULL,Grassland,Non_Water,Non_Wetland,Water
60,NULL,Grassland,Non_Water,Non_Wetland,Forest
61,NULL,Grassland,Water,Non_Wetland,Grassland
62,NULL,Grassland,Water,Non_Wetland,Wetland
63,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
64,NULL,Grassland,Water,Non_Wetland,Bareland
65,NULL,Grassland,Water,Non_Wetland,Water
66,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,Wetland,NULL,Wetland,Wetland
68,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
69,NULL,Wetland,NULL,Wetland,Bareland
70,NULL,Wetland,NULL,Wetland,Built-up
71,NULL,Wetland,NULL,Wetland,Water
72,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
73,NULL,Wetland,NULL,Wetland,Forest
74,NULL,Wetland,Non_Water,Wetland,Grassland
75,NULL,Wetland,Non_Water,Wetland,Wetland
76,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
77,NULL,Wetland,Non_Water,Wetland,Bareland
78,NULL,Wetland,Non_Water,Wetland,Water
79,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
80,NULL,Wetland,Non_Water,Wetland,Forest
81,NULL,Wetland,Water,Wetland,Grassland
82,NULL,Wetland,Water,Wetland,Wetland
83,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
84,NULL,Wetland,Water,Wetland,Bareland
85,NULL,Wetland,Water,Wetland,Water
86,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
87,NULL,Wetland,Water,Wetland,Forest
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
102,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
107,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
108,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
109,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
110,NULL,Bareland,NULL,Non_Wetland,NULL
111,NULL,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,NULL,Non_Wetland,Wetland
113,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Bareland,NULL,Non_Wetland,Bareland
115,NULL,Bareland,NULL,Non_Wetland,Built-up
116,NULL,Bareland,NULL,Non_Wetland,Water
117,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
118,NULL,Bareland,NULL,Non_Wetland,Forest
119,NULL,Bareland,Non_Water,Non_Wetland,Grassland
120,NULL,Bareland,Non_Water,Non_Wetland,Wetland
121,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Bareland,Non_Water,Non_Wetland,Bareland
123,NULL,Bareland,Non_Water,Non_Wetland,Built-up
124,NULL,Bareland,Non_Water,Non_Wetland,Water
125,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
126,NULL,Bareland,Non_Water,Non_Wetland,Forest
127,NULL,Bareland,Water,Non_Wetland,Grassland
128,NULL,Bareland,Water,Non_Wetland,Wetland
129,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
130,NULL,Bareland,Water,Non_Wetland,Bareland
131,NULL,Bareland,Water,Non_Wetland,Built-up
132,NULL,Bareland,Water,Non_Wetland,Water
133,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
134,NULL,Bareland,Water,Non_Wetland,Forest
135,NULL,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Built-up,NULL,Non_Wetland,Wetland
137,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
138,NULL,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Built-up,NULL,Non_Wetland,Water
141,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
142,NULL,Built-up,NULL,Non_Wetland,Forest
143,NULL,Built-up,Non_Water,Non_Wetland,Grassland
144,NULL,Built-up,Non_Water,Non_Wetland,Wetland
145,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Built-up,Non_Water,Non_Wetland,Bareland
147,NULL,Built-up,Non_Water,Non_Wetland,Built-up
148,NULL,Built-up,Non_Water,Non_Wetland,Forest
149,NULL,Built-up,Water,Non_Wetland,Grassland
150,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Built-up,Water,Non_Wetland,Bareland
152,NULL,Built-up,Water,Non_Wetland,Built-up
153,NULL,Built-up,Water,Non_Wetland,Water
154,NULL,Built-up,Water,Non_Wetland,Forest
155,NULL,Water,NULL,NULL,Grassland
156,NULL,Water,NULL,NULL,Lichens_and_Mosses
157,NULL,Water,NULL,NULL,Bareland
158,NULL,Water,NULL,NULL,Water
159,NULL,Water,NULL,NULL,Permanent_ice_and_snow
160,NULL,Water,NULL,Water,NULL
161,NULL,Water,NULL,Water,Grassland
162,NULL,Water,NULL,Water,Wetland
163,NULL,Water,NULL,Water,Lichens_and_Mosses
164,NULL,Water,NULL,Water,Bareland
165,NULL,Water,NULL,Water,Water
166,NULL,Water,NULL,Water,Permanent_ice_and_snow
167,NULL,Water,NULL,Water,Forest
168,NULL,Water,Non_Water,Water,Grassland
169,NULL,Water,Non_Water,Water,Wetland
170,NULL,Water,Non_Water,Water,Lichens_and_Mosses
171,NULL,Water,Non_Water,Water,Bareland
172,NULL,Water,Non_Water,Water,Water
173,NULL,Water,Non_Water,Water,Forest
174,NULL,Water,Water,NULL,Grassland
175,NULL,Water,Water,NULL,Lichens_and_Mosses
176,NULL,Water,Water,NULL,Bareland
177,NULL,Water,Water,NULL,Water
178,NULL,Water,Water,NULL,Permanent_ice_and_snow
179,NULL,Water,Water,Water,Grassland
180,NULL,Water,Water,Water,Wetland
181,NULL,Water,Water,Water,Lichens_and_Mosses
182,NULL,Water,Water,Water,Bareland
183,NULL,Water,Water,Water,Water
184,NULL,Water,Water,Water,Permanent_ice_and_snow
185,NULL,Water,Water,Water,Forest
186,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
187,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
188,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
189,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
190,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
191,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
192,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
194,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Water
195,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
196,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
197,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Water
198,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Permanent_ice_and_snow
199,NULL,Forest,NULL,Non_Wetland,NULL
200,NULL,Forest,NULL,Non_Wetland,Grassland
201,NULL,Forest,NULL,Non_Wetland,Wetland
202,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
203,NULL,Forest,NULL,Non_Wetland,Bareland
204,NULL,Forest,NULL,Non_Wetland,Built-up
205,NULL,Forest,NULL,Non_Wetland,Water
206,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
207,NULL,Forest,NULL,Non_Wetland,Forest
208,NULL,Forest,Non_Water,Non_Wetland,NULL
209,NULL,Forest,Non_Water,Non_Wetland,Grassland
210,NULL,Forest,Non_Water,Non_Wetland,Wetland
211,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Forest,Non_Water,Non_Wetland,Bareland
213,NULL,Forest,Non_Water,Non_Wetland,Water
214,NULL,Forest,Non_Water,Non_Wetland,Forest
215,NULL,Forest,Water,Non_Wetland,NULL
216,NULL,Forest,Water,Non_Wetland,Grassland
217,NULL,Forest,Water,Non_Wetland,Wetland
218,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
219,NULL,Forest,Water,Non_Wetland,Bareland
220,NULL,Forest,Water,Non_Wetland,Water
221,NULL,Forest,Water,Non_Wetland,Forest
222,Cropland,Bareland,NULL,Non_Wetland,Grassland
223,Wetland,NULL,NULL,Non_Wetland,Grassland
224,Wetland,NULL,NULL,Non_Wetland,Wetland
225,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
226,Wetland,NULL,NULL,Non_Wetland,Bareland
227,Wetland,NULL,NULL,Non_Wetland,Water
228,Wetland,NULL,NULL,Non_Wetland,Forest
229,Wetland,NULL,Non_Water,Non_Wetland,Grassland
230,Wetland,NULL,Non_Water,Non_Wetland,Wetland
231,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
232,Wetland,NULL,Non_Water,Non_Wetland,Water
233,Wetland,NULL,Non_Water,Non_Wetland,Forest
234,Wetland,NULL,Water,Non_Wetland,Grassland
235,Wetland,NULL,Water,Non_Wetland,Wetland
236,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
237,Wetland,NULL,Water,Non_Wetland,Water
238,Wetland,NULL,Water,Non_Wetland,Forest
239,Wetland,Shrubland,NULL,Non_Wetland,NULL
240,Wetland,Shrubland,NULL,Non_Wetland,Grassland
241,Wetland,Shrubland,NULL,Non_Wetland,Wetland
242,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Shrubland,NULL,Non_Wetland,Bareland
244,Wetland,Shrubland,NULL,Non_Wetland,Built-up
245,Wetland,Shrubland,NULL,Non_Wetland,Water
246,Wetland,Shrubland,NULL,Non_Wetland,Forest
247,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
248,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
249,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
250,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
251,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
