Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Grassland,0,1,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Cropland,4,5,1,3,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Wetland,34,0,10,24,35,1,9,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Bareland,6,3,3,7,5,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Built-up,1,2,1,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Water,22,23,8,0,29,0,9,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Forest,16,16,2,10,0,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44VNN_M_R,Permanent_ice_and_snow,11,12,2,8,14,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Grassland,0,0,0,0,0,0,0,4,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Bareland,0,1,0,2,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Forest,0,3,0,2,0,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Wetland,0,0,0,2,0,0,0,77,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Water,0,7,0,0,0,0,0,13,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,12,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Grassland,0,0,0,4,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Wetland,0,0,0,54,0,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Bareland,0,0,0,11,0,0,0,0,3,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Water,0,0,0,0,0,0,0,0,23,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Forest,0,0,0,25,0,0,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,Permanent_ice_and_snow,0,0,0,15,0,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Water,1,7,1,0,16,1,15,0,0,12,5,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Cropland,0,0,0,0,5,0,2,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Wetland,5,0,4,2,12,8,14,0,0,12,10,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Bareland,0,1,0,2,3,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Permanent_ice_and_snow,3,0,0,0,9,0,14,0,0,10,6,0
SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,Forest,5,3,3,2,0,3,12,0,0,8,6,0
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,Wetland,0,0,0,10,11,7,8,0,0,0,0,19
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,Water,0,17,0,0,13,6,9,0,0,0,0,16
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,Forest,0,3,0,2,0,3,3,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,Grassland,0,3,0,0,1,0,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,Bareland,0,2,0,1,0,0,0,0,0,0,0,2
