Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Lichens_and_Mosses,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Shrubland,3,2,3,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Grassland,0,0,1,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Cropland,8,0,7,2,7,1,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Wetland,31,15,0,3,25,2,2,19,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Bareland,5,2,3,0,5,1,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Built-up,12,7,9,5,11,3,0,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Water,31,4,28,7,27,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Forest,20,9,17,4,0,4,6,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUL_M_R,Permanent_ice_and_snow,1,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Bareland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Forest,0,0,3,0,0,0,0,2,20,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Wetland,0,0,0,0,0,0,0,2,68,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,Water,0,0,7,0,0,0,0,0,22,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Cropland,0,0,0,0,0,0,0,4,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Wetland,0,0,0,0,0,0,0,36,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Bareland,0,0,0,0,0,0,0,3,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Built-up,0,0,0,0,0,0,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Water,0,0,0,0,0,0,0,0,0,31,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,Forest,0,0,0,0,0,0,0,22,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Water,0,16,7,15,14,0,12,0,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Cropland,0,0,0,3,4,0,2,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Wetland,0,10,0,14,13,0,6,2,0,0,11,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Built-up,2,9,0,10,6,0,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Permanent_ice_and_snow,0,2,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,Forest,1,13,3,16,0,1,7,2,0,0,12,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Wetland,0,4,0,1,15,0,5,9,0,0,0,5
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Water,0,1,18,0,14,0,4,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Forest,0,1,3,0,0,0,1,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Cropland,0,0,2,0,1,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Bareland,0,0,0,0,1,0,1,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
