Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Permanent_ice_and_snow,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Shrubland,3,3,3,3,2,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Grassland,0,3,3,3,1,0,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Wetland,31,0,32,24,26,0,32,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Lichens_and_Mosses,2,3,0,1,0,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Bareland,6,11,5,0,11,1,11,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Built-up,8,3,4,12,3,0,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Water,31,33,34,31,0,0,34,6,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Permanent_ice_and_snow,16,18,23,18,14,0,22,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Forest,19,22,22,17,13,1,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWQ_M_R,Cropland,2,1,2,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Bareland,0,2,0,0,1,0,0,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Forest,0,3,0,0,2,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Wetland,0,0,0,0,2,0,0,0,96,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Water,0,7,0,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Shrubland,0,0,0,0,5,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Grassland,0,0,0,0,8,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Wetland,0,0,0,0,53,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Lichens_and_Mosses,0,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Bareland,0,0,0,0,21,0,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Built-up,0,0,0,0,12,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Water,0,0,0,0,0,0,0,0,0,58,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Permanent_ice_and_snow,0,0,0,0,32,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,Forest,0,0,0,0,39,0,0,0,0,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Water,19,7,4,22,0,1,21,23,0,0,23,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Cropland,1,0,0,2,0,0,2,1,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Wetland,14,0,6,14,2,0,15,16,0,0,16,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Bareland,2,2,0,0,1,0,6,5,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Built-up,4,0,1,8,0,0,4,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Permanent_ice_and_snow,15,0,7,17,0,0,17,15,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,Forest,13,3,4,16,2,2,0,17,0,0,19,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Grassland,0,3,0,1,2,3,3,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Wetland,0,0,0,8,11,17,16,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Forest,0,3,0,2,2,3,0,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Water,0,21,0,13,0,24,21,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Lichens_and_Mosses,0,3,0,0,0,1,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Bareland,0,3,0,0,2,3,3,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,Built-up,0,0,0,1,1,3,0,0,0,0,0,0
