Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43WET_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Grassland,0,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Wetland,32,0,35,28,29,26,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Lichens_and_Mosses,3,3,0,3,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Bareland,7,9,13,0,11,3,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Built-up,5,6,6,4,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Water,33,36,35,28,0,27,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Forest,17,22,14,10,11,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WET_M_R,Permanent_ice_and_snow,18,20,18,11,14,14,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Bareland,0,3,0,0,2,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Built-up,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Forest,0,1,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Wetland,0,0,0,0,2,0,0,102,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Water,0,7,0,0,0,0,0,28,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Shrubland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Grassland,0,0,0,0,8,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Wetland,0,0,0,0,57,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Lichens_and_Mosses,0,0,0,0,8,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Bareland,0,0,0,0,19,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Water,0,0,0,0,0,0,0,0,53,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Forest,0,0,0,0,26,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,Permanent_ice_and_snow,0,0,0,0,26,0,0,0,7,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Water,18,7,21,20,0,20,19,0,0,21,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Wetland,14,0,14,14,2,14,16,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Bareland,2,3,6,0,2,3,9,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Built-up,2,0,0,4,0,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Permanent_ice_and_snow,13,0,13,14,0,14,13,0,0,15,0
SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,Forest,11,1,8,12,0,0,10,0,0,14,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Water,0,23,0,14,0,8,0,0,0,0,25
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Grassland,0,3,0,1,2,3,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Lichens_and_Mosses,0,3,0,3,2,2,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Bareland,0,3,0,0,2,2,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Forest,0,3,0,0,2,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,Wetland,0,0,0,9,11,13,0,0,0,0,17
